@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
o,t,j,g,b,m,h,k,p,t,c,a,s,h,t,r,j,n,r,n,r,d,p,j,a,i,d,a,i,d,h,n,b,h,t,i,s,i,q,i,t,d,k,c,l,f,b,g,o,q,a,k,l,c,j,r,t,s,r,c,f,t,p,i,j,h,o,a,t,q,f,l,b,l,o,s,r,n,k,k,d,o,b,j,a,q,a,c,j,n,j,g,c,t,i,j,k,j,g,d,c4
l,j,a,f,r,l,c,p,f,a,t,m,f,f,t,b,i,a,b,c,r,o,j,i,f,l,d,m,l,s,k,j,j,m,o,m,f,p,n,g,a,e,j,i,j,j,i,g,r,p,i,e,j,t,k,n,j,i,l,m,p,i,f,n,l,d,m,m,t,p,g,q,r,n,q,h,n,a,r,c,j,s,b,g,e,c,k,t,t,q,r,i,r,m,s,e,s,c,j,g,c3
b,d,t,p,g,f,g,s,q,s,p,g,i,k,n,s,s,n,k,f,o,t,g,t,b,g,h,o,k,e,m,j,s,j,p,i,m,b,f,k,i,d,q,g,t,k,i,j,m,t,f,h,e,f,o,e,d,r,m,j,c,i,b,n,f,t,f,r,t,b,p,a,r,p,n,h,f,t,d,f,p,f,c,f,l,k,m,i,d,i,a,p,f,o,n,n,l,k,a,o,c1
t,s,g,f,i,e,n,m,s,r,k,n,l,a,m,g,s,n,b,i,h,c,m,j,n,q,b,o,k,f,s,j,t,c,c,c,s,l,f,q,j,j,d,g,d,q,c,k,l,t,r,n,j,c,r,l,p,e,k,j,o,n,j,b,p,r,j,r,t,r,f,j,p,g,p,k,a,p,t,a,j,k,f,f,i,q,s,q,g,d,p,d,s,q,s,o,c,e,k,j,c1
q,i,c,a,f,k,f,p,a,p,l,t,j,s,f,d,t,l,p,p,l,r,o,h,b,g,a,a,h,c,i,m,k,n,m,l,r,f,m,a,d,n,r,b,c,j,m,n,a,i,p,g,h,t,c,r,n,g,q,h,j,a,f,t,q,n,r,k,h,o,g,m,s,i,b,n,e,h,d,q,q,l,r,d,k,l,b,i,d,m,o,f,b,k,j,s,r,c,g,c,c2
g,b,c,c,n,s,d,p,o,b,t,r,r,s,d,d,o,f,p,h,l,d,g,h,b,g,p,f,q,c,g,m,a,t,a,k,i,o,r,d,g,m,e,c,d,d,q,b,l,j,p,f,d,l,o,g,n,r,d,h,c,q,q,n,j,d,l,s,a,c,q,g,q,i,k,h,c,a,p,e,f,r,e,d,b,n,b,g,r,o,j,f,o,f,i,b,d,l,h,c,c2
e,f,m,g,e,o,m,s,j,h,k,t,c,r,t,l,d,i,f,b,m,s,e,q,c,r,c,a,j,i,d,k,d,g,k,k,k,k,r,t,h,t,k,e,f,s,a,g,t,o,c,s,e,a,e,r,t,l,m,c,f,m,r,d,a,c,g,a,t,t,d,m,n,i,h,p,f,n,m,k,f,n,g,d,p,f,a,e,l,h,j,s,b,p,e,i,k,s,b,t,c4
j,k,f,t,k,d,b,i,a,b,t,r,i,r,t,s,d,a,b,r,t,q,b,s,e,o,g,t,k,g,h,m,l,t,i,s,f,o,b,o,l,q,k,q,o,e,s,i,o,i,r,q,k,l,a,r,t,a,f,c,f,a,h,c,f,b,f,a,n,s,k,t,a,i,f,r,f,n,s,k,t,i,q,o,f,b,a,j,r,o,j,a,t,p,a,b,m,s,k,t,c4
h,l,f,e,l,f,p,k,h,h,b,l,j,o,a,f,s,n,i,d,q,q,e,a,n,l,r,o,k,n,r,j,p,p,c,n,a,i,f,r,m,i,l,j,m,p,t,d,r,t,i,m,e,r,g,q,r,f,m,j,r,n,i,g,o,a,o,r,t,n,m,d,c,k,c,e,f,b,k,s,n,j,n,f,j,j,p,r,s,b,j,c,j,j,t,r,t,h,g,r,c1
t,a,i,a,t,n,s,n,j,q,t,j,i,l,t,q,o,s,e,q,r,h,p,k,q,t,s,r,r,d,j,i,q,q,a,i,a,s,p,p,j,a,k,f,j,d,c,m,b,h,l,s,j,l,c,r,t,g,r,c,f,q,g,e,c,f,n,a,e,b,q,k,c,d,s,c,l,n,l,k,i,t,k,a,l,i,a,p,h,f,j,m,s,n,g,t,s,b,h,n,c4
p,o,c,j,l,s,s,h,f,e,d,g,n,k,d,d,d,j,p,m,l,g,s,k,q,g,o,g,p,c,j,m,p,f,k,t,m,c,p,r,c,d,g,a,i,m,n,k,o,o,p,s,o,c,t,l,n,n,j,j,b,n,s,s,q,s,i,d,d,k,c,o,j,n,b,h,j,f,r,e,o,e,p,d,d,g,n,c,r,e,l,i,s,j,p,d,d,h,e,c,c2
l,g,g,d,c,h,b,q,l,j,c,q,m,n,t,b,c,i,o,k,a,h,l,d,g,o,r,l,e,t,c,f,e,t,o,h,a,h,d,n,e,p,k,s,q,l,r,e,r,n,m,b,n,m,p,r,t,l,q,c,f,m,k,s,c,t,t,a,g,o,r,k,p,a,n,c,s,n,l,k,t,d,h,d,f,r,a,p,j,s,j,j,g,n,r,i,b,s,f,e,c4
g,g,d,h,h,f,p,l,b,g,p,k,q,t,f,r,s,n,i,f,i,d,n,o,l,k,s,o,k,h,e,j,c,s,i,q,f,r,f,s,o,a,a,n,q,h,g,j,i,t,h,s,h,r,p,s,t,e,d,j,l,c,k,p,r,o,i,r,t,g,o,f,b,d,c,k,o,k,a,j,f,a,m,f,d,t,h,q,r,m,f,g,p,p,m,l,g,e,f,g,c1
p,a,p,k,a,f,c,j,s,a,h,k,s,q,j,a,i,r,l,n,o,d,r,d,e,l,p,p,b,r,k,b,c,t,d,m,f,p,k,b,q,f,c,o,r,a,e,f,g,l,i,b,d,i,n,n,b,q,k,p,h,a,c,i,c,d,t,t,q,p,a,f,g,q,i,n,s,c,o,p,d,d,e,p,t,c,m,t,o,l,p,o,r,m,r,e,j,i,s,k,c3
j,k,h,r,g,l,f,t,d,d,g,p,f,f,n,m,s,n,g,t,n,h,k,k,i,o,m,o,k,s,o,j,s,q,g,i,b,t,f,r,t,p,k,o,n,r,n,d,n,t,c,p,f,e,q,h,e,g,f,j,t,g,t,o,o,f,n,r,t,o,n,a,t,c,j,l,j,f,a,t,i,b,f,f,b,a,b,s,b,o,f,o,m,q,t,c,b,h,i,h,c1
m,l,c,a,k,k,g,c,e,c,t,b,t,a,a,d,c,l,p,p,l,t,j,h,g,g,r,k,l,c,b,m,l,l,h,t,s,o,r,f,f,n,p,o,g,f,f,f,d,c,p,k,k,m,j,s,n,b,t,o,d,k,m,l,f,r,q,l,m,e,b,r,n,l,e,d,j,s,p,o,f,s,j,d,q,e,j,b,r,n,l,m,b,p,f,t,g,o,n,c,c2
k,p,t,h,f,p,k,i,d,r,b,c,h,q,t,i,j,c,m,a,p,o,s,b,d,f,e,m,f,s,q,e,d,a,m,a,l,p,i,j,s,r,k,e,l,q,q,a,i,b,o,p,o,g,j,r,t,j,e,c,f,l,l,c,o,q,c,a,i,p,s,o,l,g,f,p,t,n,n,k,t,s,d,s,q,a,a,n,d,b,j,e,l,s,i,j,g,b,o,d,c4
i,j,c,d,h,a,e,e,q,g,c,i,a,e,t,b,d,e,t,o,o,p,j,f,d,j,l,j,q,s,l,g,h,e,k,b,d,p,i,a,p,f,k,d,r,q,e,k,b,c,j,i,h,s,h,r,t,l,e,c,f,r,t,c,m,o,p,a,r,q,m,r,n,n,t,l,m,n,i,k,k,t,s,t,q,j,a,h,e,n,j,b,g,f,j,n,n,j,k,i,c4
d,b,h,p,i,g,g,c,d,t,d,e,a,m,m,d,i,q,i,a,g,h,g,p,m,j,e,s,o,t,n,j,t,i,f,p,t,b,p,m,k,k,n,r,a,j,g,e,b,j,a,n,g,t,l,l,t,s,s,f,c,b,l,a,o,p,f,b,t,d,n,h,r,g,a,s,j,e,g,j,a,n,c,d,e,n,r,a,i,f,d,g,l,a,a,p,m,j,b,l,c5
d,s,t,o,b,a,c,k,q,a,s,t,q,l,c,s,i,d,h,b,o,i,s,q,a,k,f,o,s,b,e,e,s,s,l,m,f,p,r,j,p,a,b,l,p,a,i,n,j,m,i,a,r,b,l,n,k,n,e,q,t,m,l,m,c,r,o,p,e,p,o,o,e,i,c,t,h,o,d,e,g,g,r,d,q,c,k,o,g,i,e,n,h,m,q,c,d,m,c,l,c3
i,p,c,l,f,i,l,j,m,b,q,p,d,k,o,d,k,s,p,b,l,l,c,t,d,g,j,e,e,c,q,m,s,s,s,n,o,t,i,a,k,o,k,t,a,l,f,e,j,p,p,n,e,c,o,j,n,r,t,p,p,a,m,c,h,b,m,s,e,o,e,b,a,o,o,f,b,h,i,l,o,q,m,d,e,o,l,q,d,e,p,a,g,n,t,k,e,d,j,c,c2
s,f,d,f,e,p,c,o,s,a,o,o,s,g,e,n,i,q,a,f,q,t,g,k,i,t,e,k,n,f,r,n,l,a,e,m,f,p,o,n,i,s,g,l,i,i,m,p,a,p,i,l,q,d,h,n,g,i,q,r,l,q,r,n,c,d,p,q,m,p,d,j,c,o,j,k,c,q,j,e,j,r,d,l,f,c,s,q,r,m,t,q,k,m,r,m,s,o,c,q,c3
j,i,m,b,k,m,g,t,l,m,e,b,r,j,t,g,d,m,l,l,o,d,i,r,j,g,a,f,k,r,d,o,k,m,a,o,o,p,d,g,d,j,k,m,a,e,t,a,e,j,o,a,j,l,q,r,t,s,g,c,f,i,s,c,d,i,f,a,m,n,f,f,i,m,d,r,d,n,a,k,a,c,a,j,d,c,a,q,m,j,j,t,n,a,s,i,k,n,n,g,c4
n,t,l,a,j,s,c,j,e,a,c,m,k,l,r,i,i,q,h,n,g,p,c,f,d,d,j,r,m,t,n,h,n,j,b,m,f,p,p,c,p,s,e,a,i,e,k,j,q,e,i,e,p,b,k,n,c,b,d,a,t,q,c,q,l,i,i,t,l,p,i,s,o,r,q,p,t,s,t,b,k,j,c,f,r,c,k,k,m,p,r,a,e,m,o,g,f,i,t,o,c3
f,p,s,n,g,e,s,s,h,t,c,n,r,h,t,o,m,c,k,h,r,f,f,k,f,a,a,b,a,c,p,f,p,f,a,q,q,t,d,c,h,s,k,j,s,l,o,n,b,g,r,a,q,i,a,r,t,q,b,c,f,g,k,e,r,j,a,a,b,h,f,s,o,q,r,t,g,n,j,k,t,n,i,n,d,o,a,s,s,b,j,d,b,f,h,g,r,h,b,n,c4
m,k,c,e,e,h,q,r,m,p,g,s,r,a,m,d,s,n,p,f,l,f,f,s,m,g,k,r,k,c,f,m,k,k,r,t,i,i,m,n,p,j,r,n,s,p,k,i,c,r,p,c,k,a,f,g,n,h,s,l,f,t,d,m,l,d,r,d,c,i,h,q,c,h,g,m,r,c,t,t,q,h,o,d,n,h,f,e,n,b,d,a,d,m,c,h,b,g,f,c,c2
q,t,c,f,g,k,j,j,s,j,p,n,q,d,c,d,q,t,p,q,l,s,g,a,s,g,g,f,d,c,b,m,f,i,o,a,g,i,a,a,r,m,m,d,b,r,e,g,m,d,p,c,h,g,h,j,n,c,h,c,l,n,c,f,t,i,m,a,n,b,c,i,d,a,t,i,l,j,g,b,d,n,t,d,j,a,f,r,e,m,h,g,c,p,b,e,r,c,p,c,c2
d,c,r,s,t,o,f,b,d,t,j,s,r,d,n,r,h,q,i,i,d,o,g,a,d,j,e,l,b,s,r,c,l,o,e,f,o,h,h,d,p,b,l,s,a,f,f,a,i,n,q,g,f,q,l,c,b,n,g,t,r,s,m,k,a,h,n,t,m,o,o,t,j,r,e,s,i,a,c,p,c,n,m,l,g,a,i,k,t,n,d,o,j,j,l,h,m,j,b,g,c5
d,s,e,b,i,a,r,q,d,t,j,b,t,m,b,i,i,q,n,a,l,g,g,g,b,j,l,m,g,d,h,e,a,l,r,q,d,b,c,b,i,a,b,q,d,o,l,i,f,e,s,k,f,g,l,m,b,o,c,l,d,f,m,a,e,l,m,h,s,a,c,b,n,q,c,s,e,t,e,j,i,p,n,c,l,p,k,c,b,e,d,c,q,d,n,c,m,l,b,j,c5
n,o,l,r,k,l,c,i,j,a,q,s,d,s,m,i,i,l,s,i,f,g,d,g,c,a,s,p,s,q,j,h,t,j,j,m,f,p,o,j,a,e,b,c,i,p,j,b,h,d,i,p,m,n,m,n,r,p,s,r,t,l,g,a,e,n,b,i,f,p,n,n,t,r,c,m,g,t,m,r,q,a,m,f,l,c,e,g,i,g,f,e,o,m,i,j,f,j,d,o,c3
f,c,m,a,g,l,h,k,t,q,c,d,m,c,t,k,n,q,p,k,f,g,a,a,p,j,f,f,p,h,i,e,n,k,d,n,j,o,n,f,f,f,k,a,k,l,o,t,r,g,a,j,m,g,p,r,t,q,k,c,f,j,e,j,q,i,i,a,s,g,s,i,p,g,t,t,q,n,i,k,a,j,d,n,o,n,a,l,j,l,j,b,n,c,n,g,f,t,m,l,c4
r,d,c,k,m,p,p,k,o,e,g,o,r,r,n,d,q,o,p,t,l,d,a,p,j,g,i,j,q,c,f,m,l,q,g,n,s,h,j,f,j,c,i,c,j,i,s,c,r,g,p,h,o,b,m,k,n,p,e,t,r,e,r,l,q,e,n,r,h,i,c,o,r,s,g,j,t,f,k,i,g,o,m,d,n,a,h,o,m,n,t,o,t,p,o,b,m,p,j,c,c2
d,a,e,e,i,a,m,l,d,t,d,d,k,p,g,m,m,q,s,f,p,j,g,l,t,j,t,p,m,h,q,b,b,r,a,b,e,r,s,h,p,r,l,e,j,p,j,m,k,r,o,a,r,h,l,e,b,q,c,l,d,h,j,b,b,q,c,r,f,e,q,n,k,e,h,s,g,e,h,j,h,a,g,l,t,h,n,i,a,n,d,g,n,j,o,q,m,o,b,d,c5
e,j,c,q,j,l,c,p,j,p,n,h,k,i,m,d,q,g,p,e,l,g,h,g,f,g,o,p,d,c,o,m,j,o,p,o,j,o,n,f,h,a,n,p,l,h,a,o,r,i,p,g,r,q,n,a,n,k,i,s,g,b,m,r,q,i,s,r,c,e,a,r,n,t,j,f,e,l,h,t,s,p,g,d,g,t,f,j,r,j,i,g,a,b,g,n,t,s,a,c,c2
g,d,k,n,n,b,i,q,p,o,d,k,l,b,k,l,s,n,s,m,n,m,b,c,p,t,a,o,k,e,t,j,t,i,c,k,j,k,f,l,f,o,o,t,i,b,t,q,e,t,t,s,i,f,m,d,m,a,j,j,a,d,m,c,s,j,i,r,t,a,e,r,d,o,r,d,d,d,k,h,r,a,j,f,i,t,q,p,r,q,m,m,n,j,b,j,d,j,c,n,c1
l,q,i,d,a,g,c,i,l,a,d,g,g,p,k,s,i,i,h,l,a,q,t,j,q,a,g,m,o,i,o,c,t,n,t,m,f,p,m,s,m,l,c,l,n,h,j,s,d,m,i,j,a,n,g,n,o,d,m,m,k,m,d,g,q,m,n,t,n,p,f,n,f,m,t,f,s,a,r,e,d,d,h,r,j,c,p,h,c,q,p,p,b,m,f,n,d,m,g,h,c3
e,e,j,j,h,k,i,q,a,d,q,s,q,s,n,b,s,n,n,n,b,e,p,n,p,o,m,o,k,f,f,j,c,s,b,p,h,i,f,p,d,f,l,q,g,j,e,d,k,t,s,e,e,h,r,b,d,a,l,j,f,d,f,i,c,h,a,r,t,e,l,p,i,s,g,e,b,b,m,e,j,k,a,f,c,d,c,s,q,l,k,r,f,d,e,d,q,t,m,k,c1
h,f,k,a,g,g,k,o,b,f,t,m,a,q,n,d,s,n,j,s,j,n,n,f,l,i,o,o,k,b,g,j,n,a,d,r,j,i,f,o,p,k,f,c,h,t,q,i,i,t,k,m,i,p,h,f,q,f,m,j,d,t,b,j,s,s,f,r,t,o,b,i,q,p,n,k,l,q,p,i,i,r,s,f,l,t,p,q,j,r,j,m,i,m,d,r,b,j,n,i,c1
r,f,c,t,h,n,s,g,m,o,a,o,d,a,o,d,r,e,p,m,l,s,r,h,r,g,c,k,g,c,r,m,g,f,o,t,e,m,i,p,a,d,q,b,i,d,r,k,n,t,p,a,i,r,f,o,n,j,d,k,d,q,f,b,n,f,f,p,d,a,s,d,g,r,t,t,j,b,l,p,a,n,g,d,o,a,k,s,h,j,j,c,j,t,r,m,b,g,n,c,c2
t,d,i,o,g,g,c,b,d,a,o,s,m,c,f,e,i,a,h,a,o,b,t,k,i,e,a,k,g,e,t,d,k,m,k,m,f,p,b,i,a,n,r,n,s,k,t,s,a,l,i,k,g,m,f,n,c,o,f,g,b,r,p,l,t,a,t,f,e,p,p,g,f,r,i,r,c,t,p,c,d,b,p,n,a,c,a,s,h,l,h,g,l,m,n,d,b,j,a,h,c3
n,q,c,c,a,k,c,o,i,a,g,c,n,m,j,s,i,g,i,j,r,t,q,l,j,g,c,t,t,r,a,e,r,h,o,m,f,p,i,f,p,j,s,s,d,j,e,o,s,s,i,a,a,e,f,n,h,e,c,t,t,d,m,o,o,a,e,g,n,p,r,n,c,g,b,a,s,q,r,o,i,n,p,j,k,c,g,l,l,a,o,r,o,m,p,n,a,k,b,h,c3
b,f,c,c,e,g,l,e,b,j,c,n,o,k,s,d,o,t,p,n,l,e,a,g,o,g,e,n,j,c,s,m,i,t,j,i,f,f,j,e,b,c,j,d,j,o,i,k,s,h,p,i,g,d,d,h,n,s,a,a,l,q,h,a,j,b,o,s,t,d,f,d,f,i,h,t,o,c,n,b,m,d,t,d,g,a,j,i,s,d,n,s,q,f,e,t,k,c,s,c,c2
r,t,n,k,t,l,o,b,r,m,p,a,m,r,s,c,s,n,k,o,l,j,b,h,h,j,c,o,k,b,f,j,t,h,c,o,i,g,f,l,c,l,n,p,s,o,i,b,r,t,c,m,a,a,q,h,d,h,g,j,c,d,r,l,q,o,g,r,t,l,e,n,h,g,g,d,a,c,d,e,h,c,p,f,i,d,e,s,n,l,e,n,i,b,k,l,d,c,p,g,c1
d,h,g,d,g,m,r,n,d,t,p,k,q,b,q,f,j,q,s,h,d,j,g,k,a,j,n,l,c,g,q,m,f,d,e,c,f,k,t,f,o,q,s,s,f,h,o,q,f,t,h,r,t,d,l,e,i,k,d,b,h,d,i,s,d,k,n,p,e,r,r,m,l,m,e,s,s,m,j,k,j,o,b,l,f,r,q,c,l,q,d,q,r,s,f,i,m,l,b,b,c5
