@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
r,at,al,aw,r,am,ax,l,m,i,aa,am,ar,al,d,b,u,m,ab,t,ae,av,ak,z,a,a,r,ab,y,af,c2
av,m,ao,y,b,a,an,as,u,av,al,z,as,x,s,ax,w,o,b,aj,ar,ap,r,i,m,aw,y,e,n,b,c4
ap,f,al,aw,r,f,ax,ar,l,al,al,z,x,ar,ar,au,aa,aj,p,t,ae,av,ak,z,p,a,t,w,t,s,c2
ao,af,r,r,s,p,av,e,q,l,y,g,aq,aw,x,as,af,n,j,ao,q,aa,j,d,p,c,ao,af,au,aw,c3
e,g,av,ar,am,av,an,av,g,j,ai,z,as,ai,s,ax,s,g,b,au,ap,o,i,p,m,aw,y,e,y,ak,c4
ao,q,al,l,r,ar,al,m,q,an,h,g,i,ao,aw,e,af,v,v,ai,q,av,au,d,p,c,ao,af,x,f,c3
ai,l,ac,f,n,a,an,an,i,j,a,z,as,y,s,ax,c,ag,b,w,o,ax,af,y,m,aw,y,e,a,g,c4
ag,ab,ai,e,ag,ae,au,k,al,d,n,aq,am,o,o,a,aj,l,ad,af,aq,d,i,ar,h,aj,q,av,u,aa,c1
ah,y,e,al,ax,as,an,as,av,m,ad,z,as,ah,s,ax,ap,au,b,t,j,f,ad,z,m,aw,y,e,h,ax,c4
u,ag,al,aw,r,v,ax,v,af,y,r,x,j,al,av,n,e,d,ak,t,ae,av,ak,z,at,a,q,w,c,aj,c2
ac,ad,m,c,l,j,an,r,at,ae,ae,z,as,t,s,ax,ac,al,b,ac,aa,f,as,ah,m,aw,y,e,aq,an,c4
k,aq,ad,u,ak,at,an,as,ax,af,v,z,as,ad,s,ax,n,aj,b,k,x,n,l,l,m,aw,y,e,f,q,c4
af,ab,y,r,ac,ag,an,aq,ao,at,o,z,as,aa,s,ax,a,am,b,p,af,ae,i,ad,m,aw,y,e,ah,r,c4
ao,g,q,j,q,q,ab,l,q,o,k,g,k,ap,c,z,af,d,i,p,q,m,m,d,p,c,ao,af,aq,h,c3
ao,x,af,ac,ag,ak,r,af,q,o,as,g,r,av,at,m,af,o,ar,ap,q,ag,c,d,p,c,ao,af,p,z,c3
k,ag,al,aw,r,d,ax,p,o,b,ai,ae,as,d,c,u,r,ai,i,t,ae,av,ak,z,av,a,l,at,am,g,c2
av,ar,al,aw,r,i,ax,as,aa,al,m,i,y,ah,j,ab,aw,j,i,t,ae,av,ak,z,q,a,u,aj,aw,n,c2
as,f,al,aw,r,t,ax,aa,f,c,x,i,r,ae,q,i,m,ax,al,t,ae,av,ak,z,av,a,p,e,ah,an,c2
ao,au,ab,an,ab,al,s,ao,q,al,r,g,ax,al,ab,t,af,aw,ao,p,q,s,ac,d,p,c,ao,af,ao,u,c3
al,h,al,aw,r,h,ax,t,y,aw,w,an,r,ai,b,v,ah,ao,y,t,ae,av,ak,z,av,a,s,i,h,an,c2
ao,ad,s,g,o,as,ao,an,q,c,c,g,h,ax,w,h,af,c,ax,k,q,t,k,d,p,c,ao,af,e,ar,c3
j,b,h,as,f,an,an,ak,y,v,aj,z,as,ae,s,ax,aq,s,b,q,x,e,r,h,m,aw,y,e,ax,p,c4
b,am,al,aw,r,m,ax,ax,av,x,aw,o,r,p,ae,an,d,o,an,t,ae,av,ak,z,n,a,w,c,w,t,c2
ao,ap,ac,af,av,ap,ak,j,q,a,ax,g,b,al,av,ah,af,as,al,ap,q,ax,af,d,p,c,ao,af,b,av,c3
m,o,al,b,s,ap,an,r,g,a,aw,z,as,ae,s,ax,am,k,b,w,av,at,z,ad,m,aw,y,e,ad,f,c4
ag,ab,m,au,ag,u,t,k,al,f,t,aq,a,x,o,a,aj,e,z,ak,aq,am,am,ar,aw,o,ak,s,c,aa,c1
ag,ab,au,ac,ag,ac,d,u,x,ai,an,aq,aa,ai,o,a,aj,i,h,a,aq,at,aa,ar,l,ap,n,h,av,aa,c1
o,ag,al,ah,b,as,an,aj,i,z,t,z,as,o,s,ax,aj,q,b,z,at,k,af,h,m,aw,y,e,ax,p,c4
ag,ab,p,a,ag,n,ak,g,aj,ag,ao,aq,p,am,o,a,aj,h,ap,b,aq,o,x,ar,k,i,c,ag,an,aa,c1
an,z,al,aw,r,al,ax,a,e,am,x,at,ap,m,v,p,aj,aj,c,t,ae,av,ak,z,au,a,w,t,h,r,c2
s,ae,av,n,j,y,an,j,aw,o,f,z,as,p,s,ax,ao,o,b,at,ao,au,a,ag,m,aw,y,e,ax,ak,c4
ag,ab,k,ao,ag,an,q,d,au,z,ak,aq,c,d,o,a,aj,ac,d,q,aq,al,ah,ar,ak,ae,an,ah,n,aa,c1
i,q,al,aw,r,ar,ax,ax,x,ab,d,k,l,ab,as,m,q,a,b,t,ae,av,ak,z,ah,a,e,y,ac,y,c2
ag,ab,am,as,ag,i,ak,a,ai,as,j,aq,ac,f,o,a,aj,ah,ah,ap,aq,r,ai,ar,ao,g,c,ao,ai,aa,c1
ag,ab,i,ag,ag,y,as,j,g,at,x,aq,m,l,o,a,aj,t,n,aj,aq,h,al,ar,ak,p,am,ar,w,aa,c1
f,y,al,aw,r,u,ax,g,x,r,u,k,aa,at,z,ao,n,p,d,t,ae,av,ak,z,ai,a,j,ap,i,u,c2
ag,ab,an,q,ag,ah,am,ar,ae,l,s,aq,x,an,o,a,aj,n,u,c,aq,ar,ax,ar,aa,z,b,au,ae,aa,c1
r,d,al,aw,r,x,ax,f,k,n,aq,c,ap,x,l,af,e,av,ah,t,ae,av,ak,z,ao,a,ac,ap,h,al,c2
ag,ab,y,ak,ag,av,p,ak,aw,ah,av,aq,c,p,o,a,aj,b,al,s,aq,w,n,ar,af,ai,o,i,aw,aa,c1
ao,as,ae,b,o,n,p,g,q,d,o,g,s,al,am,g,af,ac,j,ax,q,e,i,d,p,c,ao,af,f,a,c3
ar,av,al,aw,r,at,ax,o,q,ao,b,aq,ab,ac,g,u,ax,d,r,t,ae,av,ak,z,z,a,l,aj,i,ac,c2
ag,ab,d,h,ag,ac,ai,al,au,ao,aj,aq,y,k,o,a,aj,al,aa,at,aq,y,as,ar,a,n,ao,at,p,aa,c1
r,i,al,aw,r,a,ax,am,ar,k,ar,al,i,ag,f,ad,ap,e,d,t,ae,av,ak,z,i,a,aj,ar,n,y,c2
ag,ab,u,g,ag,f,k,aj,f,ap,a,aq,ax,am,o,a,aj,ab,i,c,aq,ad,ao,ar,as,k,at,as,h,aa,c1
ag,ab,af,ac,ag,c,t,aq,x,b,ax,aq,s,ar,o,a,aj,at,p,as,aq,ae,ao,ar,f,u,j,am,s,aa,c1
aa,f,ag,an,n,ae,an,p,aq,o,g,z,as,al,s,ax,as,p,b,s,ap,ac,ar,an,m,aw,y,e,ad,b,c4
ao,e,a,an,k,ah,af,h,q,am,y,g,u,ax,i,aa,af,an,aa,aa,q,g,d,d,p,c,ao,af,p,s,c3
ag,ab,ac,o,ag,u,aw,am,aj,b,aa,aq,a,ak,o,a,aj,d,ad,an,aq,d,f,ar,av,s,ae,o,j,aa,c1
x,f,al,aw,r,k,ax,z,j,h,an,m,i,p,ar,k,ax,c,as,t,ae,av,ak,z,e,a,am,e,as,ah,c2
ao,z,ap,ar,as,at,ab,z,q,ag,aq,g,b,ax,ax,y,af,ai,aq,ag,q,l,ah,d,p,c,ao,af,o,ae,c3
ag,ab,aq,au,ag,at,at,r,aj,e,as,aq,aj,s,o,a,aj,ak,w,ar,aq,j,av,ar,a,ag,k,av,j,aa,c1
af,a,al,aw,r,v,ax,ak,v,aw,aj,aw,ac,av,ab,x,s,a,at,t,ae,av,ak,z,y,a,ad,ad,aq,ad,c2
ae,r,al,aw,r,ad,ax,ax,o,ai,v,aq,d,au,k,ag,ak,ao,ab,t,ae,av,ak,z,av,a,x,au,h,m,c2
af,o,al,aw,r,f,ax,aw,d,ap,ai,as,ah,aa,ax,w,i,x,y,t,ae,av,ak,z,b,a,ao,u,k,al,c2
z,d,al,aw,r,c,ax,al,af,ax,ae,al,ao,h,p,d,aq,aa,i,t,ae,av,ak,z,ar,a,ah,aw,aq,ao,c2
a,v,al,aw,r,p,ax,af,ad,w,n,ap,w,c,d,e,s,ai,s,t,ae,av,ak,z,aa,a,p,ao,b,m,c2
ao,ae,c,r,w,ag,e,e,q,z,d,g,e,a,w,ak,af,x,o,r,q,ao,at,d,p,c,ao,af,d,e,c3
ag,ab,p,aa,ag,ag,d,h,a,ac,an,aq,q,j,o,a,aj,c,a,e,aq,t,at,ar,ag,q,f,an,c,aa,c1
al,p,aj,a,ax,w,an,ap,m,ax,c,z,as,ab,s,ax,w,p,b,ar,ag,p,as,al,m,aw,y,e,a,aw,c4
ag,ab,ak,g,ag,k,n,af,e,g,y,aq,ak,af,o,a,aj,f,ar,aq,aq,ap,at,ar,q,ak,ap,an,al,aa,c1
ag,ab,as,p,ag,ax,as,ax,k,av,s,aq,x,ar,o,a,aj,v,x,y,aq,q,j,ar,x,as,ao,at,ab,aa,c1
ag,ab,as,at,ag,z,o,b,ao,ax,ae,aq,r,w,o,a,aj,t,ax,h,aq,ao,q,ar,m,x,ar,as,s,aa,c1
c,j,ar,k,g,aq,an,g,k,g,v,z,as,af,s,ax,x,af,b,ag,g,ag,ai,aj,m,aw,y,e,ab,d,c4
o,s,al,aw,r,ak,ax,g,ar,f,h,al,ap,g,a,av,af,aa,n,t,ae,av,ak,z,h,a,g,at,ax,c,c2
aq,aw,t,ap,ak,e,an,av,ad,am,aa,z,as,ao,s,ax,ae,b,b,am,ad,p,e,h,m,aw,y,e,l,z,c4
ao,ab,ap,z,z,o,aq,e,q,w,p,g,am,ax,aq,y,af,am,an,e,q,ad,ao,d,p,c,ao,af,ak,af,c3
z,t,al,aw,r,z,ax,n,af,u,a,al,ar,as,aq,d,aq,a,z,t,ae,av,ak,z,af,a,o,ad,t,an,c2
ag,ab,aa,av,ag,o,as,am,ai,q,i,aq,aj,a,o,a,aj,j,ai,p,aq,k,ad,ar,am,a,ab,ac,ag,aa,c1
ao,ai,ag,aw,o,u,ac,ab,q,t,a,g,a,g,ax,ak,af,ae,aq,m,q,ak,a,d,p,c,ao,af,r,p,c3
ag,ab,ab,v,ag,t,i,w,s,n,e,aq,as,aw,o,a,aj,as,ab,ai,aq,al,as,ar,x,j,x,ac,h,aa,c1
ag,ab,f,f,ag,s,m,j,j,c,ab,aq,u,av,o,a,aj,av,b,x,aq,ac,ai,ar,r,z,ax,an,r,aa,c1
ax,aq,g,n,b,au,an,ae,o,ah,x,z,as,aw,s,ax,b,ac,b,ap,i,ar,ah,at,m,aw,y,e,at,at,c4
ag,ab,aa,j,ag,m,ao,ab,l,m,ak,aq,as,au,o,a,aj,w,ac,i,aq,aq,ax,ar,f,h,av,g,am,aa,c1
ac,e,al,aw,r,am,ax,g,ae,aw,aa,w,k,u,d,m,r,g,k,t,ae,av,ak,z,ah,a,k,aw,ao,w,c2
aw,a,al,aw,r,ao,ax,a,e,w,j,ac,c,y,ai,d,g,o,aj,t,ae,av,ak,z,ao,a,aw,an,w,t,c2
ag,ab,x,an,ag,an,a,z,ae,ak,l,aq,f,ac,o,a,aj,ad,ad,e,aq,ax,s,ar,p,am,al,an,ac,aa,c1
j,h,al,aw,r,n,ax,g,aj,aa,as,s,at,z,an,ap,z,ap,a,t,ae,av,ak,z,m,a,ak,al,ap,aw,c2
ai,ab,c,u,as,s,an,af,y,ah,aa,z,as,ag,s,ax,x,w,b,q,e,v,z,b,m,aw,y,e,ai,v,c4
ao,k,aw,d,ah,e,ai,r,q,ah,v,g,f,as,g,ai,af,ax,d,h,q,s,i,d,p,c,ao,af,a,ah,c3
av,af,al,aw,r,n,ax,e,h,g,f,ap,g,r,k,d,c,c,ak,t,ae,av,ak,z,al,a,aj,aw,ai,t,c2
f,u,al,aw,r,c,ax,w,a,af,ad,g,j,m,aa,ag,l,av,c,t,ae,av,ak,z,r,a,ak,al,au,an,c2
ad,m,al,aw,r,t,ax,as,k,a,n,x,ap,ah,ag,g,m,z,g,t,ae,av,ak,z,ao,a,q,at,ao,ac,c2
at,aj,al,aw,r,y,ax,ac,y,ac,h,ab,as,r,ar,ai,ax,t,ah,t,ae,av,ak,z,ai,a,y,av,i,ac,c2
al,h,as,q,k,i,an,ap,ad,x,z,z,as,aq,s,ax,aw,d,b,aw,ad,o,m,w,m,aw,y,e,ag,b,c4
ao,r,an,r,ao,d,ah,ad,q,au,z,g,b,ar,ah,ap,af,at,m,m,q,al,w,d,p,c,ao,af,r,aa,c3
ak,p,t,u,ad,aj,an,au,aq,aq,ax,z,as,ae,s,ax,n,t,b,aw,j,ad,x,am,m,aw,y,e,ax,am,c4
a,h,ae,ae,ak,b,an,as,m,s,p,z,as,v,s,ax,c,k,b,w,k,ae,y,aw,m,aw,y,e,ap,am,c4
aq,aq,as,ah,s,ai,an,b,ad,q,ak,z,as,af,s,ax,ag,an,b,ao,aj,h,y,au,m,aw,y,e,i,g,c4
ao,aj,ag,as,ag,ap,x,aq,q,ac,i,g,ag,v,a,an,af,e,w,ap,q,p,ai,d,p,c,ao,af,ap,ap,c3
ag,ab,u,ai,ag,h,o,k,w,al,aj,aq,g,c,o,a,aj,x,i,ae,aq,ad,af,ar,s,d,f,h,j,aa,c1
ao,z,ax,y,g,o,ae,k,q,x,as,g,i,m,ah,k,af,v,aw,ao,q,an,z,d,p,c,ao,af,f,h,c3
w,x,ae,h,w,v,an,l,n,k,ag,z,as,i,s,ax,x,z,b,k,av,aa,ag,v,m,aw,y,e,ax,ar,c4
m,af,k,q,u,g,an,s,ap,ax,b,z,as,h,s,ax,a,af,b,ab,an,av,z,a,m,aw,y,e,av,ah,c4
ao,a,ad,ag,al,ag,m,z,q,v,j,g,l,ae,n,aj,af,am,k,av,q,l,m,d,p,c,ao,af,al,ab,c3
ao,ap,f,y,as,aq,f,b,q,ah,x,g,am,h,o,ax,af,o,s,ab,q,aq,m,d,p,c,ao,af,y,ak,c3
aj,b,r,aa,m,ak,an,u,d,k,t,z,as,ao,s,ax,as,au,b,ab,as,aq,x,au,m,aw,y,e,u,ao,c4
ao,l,ar,aw,af,m,j,l,q,am,a,g,ar,p,au,b,af,c,t,h,q,r,s,d,p,c,ao,af,am,p,c3
ag,ab,m,ao,ag,a,ao,as,ao,y,ad,aq,aq,aa,o,a,aj,f,aw,av,aq,h,m,ar,ao,aj,v,am,as,aa,c1
ao,b,x,o,x,j,ax,j,q,o,ap,g,e,ak,q,l,af,al,al,v,q,x,w,d,p,c,ao,af,c,k,c3
ao,u,u,z,am,as,b,j,q,n,h,g,aq,d,ax,o,af,h,f,au,q,w,g,d,p,c,ao,af,e,ai,c3
m,y,al,aw,r,aj,ax,a,i,z,ap,q,aa,i,am,ak,c,i,aw,t,ae,av,ak,z,h,a,l,w,y,al,c2
ao,f,am,d,ax,o,an,ap,k,a,y,z,as,k,s,ax,h,ai,b,k,ai,o,ax,g,m,aw,y,e,v,ah,c4
ag,ab,ap,ao,ag,m,au,aw,f,t,f,aq,ar,l,o,a,aj,ax,af,aa,aq,a,av,ar,ax,i,ac,ak,s,aa,c1
ao,s,k,p,q,ae,ax,ag,q,w,aw,g,ah,ah,at,ab,af,o,ad,aq,q,n,v,d,p,c,ao,af,i,c,c3
y,h,al,aw,r,ar,ax,aj,t,e,ag,at,j,af,af,s,q,am,p,t,ae,av,ak,z,as,a,am,aa,t,aq,c2
k,ac,y,a,ae,aj,an,x,ab,f,ad,z,as,s,s,ax,ad,ak,b,at,b,o,w,ao,m,aw,y,e,ah,aa,c4
l,a,al,aw,r,g,ax,n,ar,m,h,ai,s,k,an,ab,m,g,ar,t,ae,av,ak,z,r,a,n,ax,n,m,c2
ao,z,av,aa,u,at,r,ab,q,i,e,g,ah,h,as,ad,af,ar,e,af,q,aw,ad,d,p,c,ao,af,aa,av,c3
af,m,ah,k,aw,ao,an,y,aw,af,h,z,as,r,s,ax,c,d,b,aw,ar,v,h,r,m,aw,y,e,d,o,c4
m,as,al,aw,r,a,ax,o,t,au,ad,ar,af,aw,av,x,y,ab,e,t,ae,av,ak,z,ai,a,y,x,h,ah,c2
an,ah,h,ax,l,t,an,aj,aa,ag,ah,z,as,ag,s,ax,i,u,b,v,ao,c,aq,y,m,aw,y,e,an,j,c4
ag,ab,j,f,ag,av,q,aq,a,p,w,aq,d,e,o,a,aj,t,b,z,aq,k,r,ar,aj,ah,j,ak,j,aa,c1
s,n,al,aw,r,y,ax,ap,aj,v,at,ax,m,f,as,w,y,k,ah,t,ae,av,ak,z,ae,a,ae,ae,ar,v,c2
ao,k,av,af,u,ah,v,o,q,ap,j,g,i,f,an,ax,af,g,ag,p,q,av,a,d,p,c,ao,af,ak,an,c3
ag,ab,av,d,ag,ah,n,as,u,n,an,aq,ak,au,o,a,aj,h,v,g,aq,al,q,ar,aw,al,af,au,f,aa,c1
ao,b,r,ah,ac,e,e,s,q,o,v,g,l,au,t,x,af,at,b,b,q,ac,an,d,p,c,ao,af,b,al,c3
ao,ab,ar,an,z,n,ad,ao,q,a,ax,g,at,au,v,k,af,ah,e,g,q,v,ar,d,p,c,ao,af,y,ar,c3
ae,ao,ae,at,g,q,an,as,av,i,s,z,as,av,s,ax,g,aw,b,a,m,b,an,q,m,aw,y,e,m,s,c4
j,m,al,aw,r,y,ax,p,av,ag,v,p,r,aa,n,d,ac,aj,ah,t,ae,av,ak,z,r,a,aw,c,au,av,c2
c,at,al,aw,r,a,ax,l,m,t,aq,l,g,q,o,i,h,i,a,t,ae,av,ak,z,k,a,l,af,u,u,c2
ao,aq,aj,h,o,aj,aw,aw,q,ap,as,g,ap,c,v,t,af,b,q,f,q,al,aj,d,p,c,ao,af,ac,ag,c3
ao,c,af,ah,e,ai,b,at,q,ak,aq,g,d,q,aa,av,af,ax,ae,ax,q,ab,ar,d,p,c,ao,af,c,d,c3
av,au,ae,aj,ae,m,an,an,ao,z,ap,z,as,t,s,ax,a,ag,b,n,f,u,au,h,m,aw,y,e,ah,ar,c4
ai,ad,al,aw,r,r,ax,y,aq,l,ap,b,a,av,u,as,s,n,d,t,ae,av,ak,z,q,a,r,am,u,ap,c2
ag,ab,l,m,ag,am,m,c,an,ad,d,aq,aj,ah,o,a,aj,z,ah,z,aq,ai,r,ar,j,ae,af,i,ap,aa,c1
ag,ab,ah,t,ag,af,s,d,v,av,t,aq,ah,ab,o,a,aj,ax,z,l,aq,p,n,ar,k,ai,s,ae,r,aa,c1
d,a,x,o,af,an,an,p,k,aj,e,z,as,m,s,ax,ag,a,b,p,w,j,a,s,m,aw,y,e,k,t,c4
d,s,ak,al,ak,i,an,m,q,i,af,z,as,j,s,ax,w,x,b,s,ag,ae,aw,s,m,aw,y,e,w,ai,c4
j,s,al,aw,r,d,ax,l,ao,aj,ad,ah,av,a,x,n,e,a,o,t,ae,av,ak,z,ak,a,ag,z,ak,ar,c2
ag,ab,aa,as,ag,at,t,aw,af,a,z,aq,c,al,o,a,aj,u,ah,av,aq,an,au,ar,ag,au,aq,ar,o,aa,c1
i,ah,al,aw,r,ac,ax,p,p,u,al,aw,ai,av,av,c,al,aa,ar,t,ae,av,ak,z,aq,a,y,i,ac,a,c2
ag,ab,n,z,ag,y,y,aw,as,ag,l,aq,an,av,o,a,aj,ac,j,ae,aq,q,w,ar,r,au,at,at,an,aa,c1
ao,x,ap,au,ad,ar,af,f,q,ap,ap,g,t,aq,ah,m,af,z,c,q,q,v,x,d,p,c,ao,af,a,g,c3
ag,ab,r,ah,ag,t,aj,ab,ab,ag,g,aq,af,j,o,a,aj,z,g,f,aq,v,o,ar,e,am,e,ac,d,aa,c1
s,ak,al,aw,r,q,ax,av,f,m,am,c,aj,ai,q,g,at,ae,p,t,ae,av,ak,z,aa,a,l,as,ab,s,c2
ao,ax,l,at,s,x,e,ag,q,ar,aa,g,d,y,v,j,af,e,am,ag,q,ao,o,d,p,c,ao,af,y,o,c3
ag,ab,q,o,ag,c,y,r,h,k,v,aq,w,ae,o,a,aj,aj,e,s,aq,b,n,ar,u,m,n,ax,ad,aa,c1
al,q,aj,am,q,s,an,al,an,i,aa,z,as,am,s,ax,e,i,b,e,r,u,d,am,m,aw,y,e,k,s,c4
ao,ak,p,am,aa,k,aj,ar,q,j,x,g,ar,d,au,ae,af,v,at,as,q,an,r,d,p,c,ao,af,aq,av,c3
m,ak,ah,i,n,ar,an,g,ae,u,l,z,as,n,s,ax,aj,x,b,aq,l,z,z,i,m,aw,y,e,ab,ad,c4
